sale_item_id,sale_id,product_id,quantity,unit_price
1,1,225,1,922500.0
2,1,64,1,386200.0
3,2,141,1,2523900.0
4,3,228,1,2329800.0
5,4,269,1,2058500.0
6,4,200,1,707000.0
7,4,263,1,1204300.0
8,5,93,1,374800.0
9,6,16,1,5116800.0
10,7,216,1,1760300.0
11,7,33,1,434500.0
12,8,294,1,3118500.0
13,9,50,1,2968100.0
14,10,271,1,2701000.0
15,10,255,1,4118300.0
16,10,98,1,1372900.0
17,11,256,1,2944900.0
18,12,266,1,1906400.0
19,12,257,1,5699100.0
20,13,105,1,1805800.0
21,14,214,1,3637400.0
22,15,156,1,1165500.0
23,16,194,1,699600.0
24,17,30,1,4269000.0
25,18,93,1,361500.0
26,19,279,1,925300.0
27,20,164,1,1842200.0
28,20,278,1,1674100.0
29,20,258,1,2386900.0
30,21,226,1,1784400.0
31,22,197,1,2701400.0
32,22,254,1,1596500.0
33,22,10,1,3447300.0
34,23,15,1,361700.0
35,23,175,1,1300500.0
36,24,291,1,1834300.0
37,24,266,1,1948400.0
38,25,141,1,2518200.0
39,26,9,1,4593500.0
40,27,33,1,434900.0
41,27,226,1,1828500.0
42,28,297,1,3186200.0
43,28,163,2,7171900.0
44,28,22,2,1044500.0
45,29,40,1,1025000.0
46,30,192,1,1777900.0
47,31,161,1,1766000.0
48,32,41,2,3498900.0
49,33,27,1,1611500.0
50,33,242,1,708400.0
51,33,269,2,2018800.0
52,34,186,1,1597600.0
53,34,41,1,3402900.0
54,34,181,1,8748600.0
55,35,161,1,1727600.0
56,36,62,1,6215400.0
57,37,264,1,1339000.0
58,38,56,1,1285300.0
59,38,24,1,3881700.0
60,38,38,1,2746700.0
61,39,190,1,1547800.0
62,40,261,1,5658300.0
63,41,85,1,1224000.0
64,42,283,1,885000.0
65,43,293,1,470300.0
66,44,60,1,609000.0
67,44,182,1,4724400.0
68,44,41,1,3408700.0
69,44,114,1,5450500.0
70,45,5,1,4579500.0
71,45,126,2,1678400.0
72,46,2,1,6017700.0
73,46,223,1,7858200.0
74,47,154,1,3144000.0
75,47,119,1,2950900.0
76,47,150,1,2082600.0
77,47,249,2,3657900.0
78,48,59,1,1509600.0
79,49,210,1,9179500.0
80,49,32,1,3091900.0
81,49,288,1,1265900.0
82,50,86,1,1472900.0
83,51,171,2,1624800.0
84,52,118,2,1991500.0
85,52,149,1,1187100.0
86,52,83,2,1589500.0
87,53,127,1,944000.0
88,53,18,1,1427300.0
89,54,278,1,1639000.0
90,54,78,1,6490900.0
91,55,242,1,688200.0
92,55,193,2,9864600.0
93,56,232,1,746600.0
94,56,115,1,4017300.0
95,57,251,1,244200.0
96,58,19,1,598200.0
97,58,165,1,3329700.0
98,58,290,1,1285900.0
99,59,40,1,1051600.0
100,60,72,1,4651700.0
101,61,191,1,4319500.0
102,61,289,1,3540600.0
103,62,70,1,5572400.0
104,62,85,1,1234500.0
105,63,240,1,1576100.0
106,64,207,2,4685300.0
107,65,268,1,5889700.0
108,66,111,1,793500.0
109,67,257,1,5483700.0
110,68,110,2,1724700.0
111,68,86,1,1478100.0
112,69,188,1,2280500.0
113,70,100,1,640800.0
114,71,130,1,2042900.0
115,72,54,1,1938800.0
116,72,20,1,2862000.0
117,73,100,1,657300.0
118,74,32,1,3172100.0
119,75,2,1,5944000.0
120,75,160,1,1049600.0
121,76,11,1,7947900.0
122,76,87,1,1730700.0
123,77,147,1,1859400.0
124,78,187,1,1600500.0
125,79,148,1,4235300.0
126,80,96,1,2960900.0
127,81,173,1,2213000.0
128,82,295,1,812500.0
129,83,120,1,1523800.0
130,83,260,1,3999500.0
131,83,56,1,1270700.0
132,83,216,1,1797100.0
133,84,73,1,1106100.0
134,85,79,1,806400.0
135,85,285,1,7816900.0
136,86,199,1,1531400.0
137,86,66,1,2392600.0
138,86,163,1,7063700.0
139,87,92,1,5326800.0
140,87,121,1,1259700.0
141,87,189,1,2183400.0
142,88,199,1,1563700.0
143,89,52,1,3248300.0
144,90,206,1,672300.0
145,90,217,1,2015300.0
146,90,28,2,1392100.0
147,90,156,1,1154300.0
148,91,133,1,915800.0
149,92,190,1,1537100.0
150,93,58,1,493400.0
151,93,183,1,3861600.0
152,94,269,1,1983900.0
153,95,217,1,2032100.0
154,95,206,1,668800.0
155,96,26,1,624900.0
156,97,146,1,530300.0
157,98,167,1,1921700.0
158,99,176,1,2744800.0
159,99,175,1,1306000.0
160,100,250,1,1318900.0
161,100,288,1,1257900.0
162,100,177,1,3423000.0
163,100,43,1,1490600.0
164,101,194,1,717100.0
165,102,181,1,8653000.0
166,102,112,1,4764100.0
167,103,231,1,6589500.0
168,104,215,1,3913500.0
169,104,211,1,381000.0
170,105,47,2,1307900.0
171,106,103,1,2926200.0
172,106,166,1,4753700.0
173,106,68,1,5478200.0
174,107,126,1,1615100.0
175,107,237,1,519900.0
176,107,36,3,965600.0
177,108,150,1,2146300.0
178,108,204,1,706700.0
179,109,87,1,1791400.0
180,110,126,1,1645700.0
181,111,14,1,708000.0
182,112,66,1,2308500.0
183,113,261,1,5850600.0
184,114,249,1,3652400.0
185,115,62,1,6066700.0
186,116,260,2,4059400.0
187,116,35,1,1545800.0
188,116,139,1,4682000.0
189,116,284,1,3722500.0
190,117,143,1,5663600.0
191,118,51,1,251100.0
192,119,154,1,3106900.0
193,119,292,2,1979300.0
194,120,260,1,3926400.0
195,121,94,1,557500.0
196,122,176,1,2630600.0
197,122,276,1,1327000.0
198,122,94,1,572500.0
199,123,81,2,1387300.0
200,123,167,1,1941800.0
201,124,182,1,4735600.0
202,125,10,1,3506000.0
203,125,104,1,1589000.0
204,126,125,1,459800.0
205,127,193,1,9569800.0
206,128,78,1,6388900.0
207,128,154,1,3088000.0
208,129,161,1,1707600.0
209,129,185,1,3120800.0
210,129,229,1,371800.0
211,130,25,1,2174100.0
212,131,295,1,780900.0
213,132,98,1,1362500.0
214,132,38,1,2685400.0
215,133,222,1,1513400.0
216,133,11,1,8030700.0
217,134,295,1,811800.0
218,134,182,1,4699600.0
219,135,162,2,6952700.0
220,136,14,1,711200.0
221,136,228,1,2235000.0
222,136,107,1,4629400.0
223,137,163,1,7169100.0
224,137,213,1,5055000.0
225,138,34,1,376900.0
226,138,223,1,8159000.0
227,138,154,1,3030200.0
228,139,241,1,1054100.0
229,140,93,1,359100.0
230,140,187,1,1575200.0
231,140,57,1,3717500.0
232,140,84,1,711400.0
233,141,179,1,3080800.0
234,142,1,1,858700.0
235,142,160,1,1034400.0
236,143,67,1,1346300.0
237,144,237,1,509400.0
238,145,198,2,2394600.0
239,145,25,1,2276900.0
240,145,102,1,2286600.0
241,146,144,1,3834500.0
242,147,266,1,1924800.0
243,148,178,1,1825000.0
244,149,9,1,4562700.0
245,149,102,1,2253100.0
246,150,85,1,1267100.0
247,151,216,1,1810300.0
248,151,244,1,8100300.0
249,151,240,1,1633900.0
250,152,125,1,457700.0
251,152,201,1,5701300.0
252,153,78,1,6280600.0
253,153,106,1,7688100.0
254,153,228,1,2278100.0
255,154,37,1,969100.0
256,155,250,1,1251800.0
257,155,150,3,2131000.0
258,156,129,1,1398400.0
259,156,261,1,5634700.0
260,157,250,1,1287000.0
261,157,288,1,1301600.0
262,158,123,1,2217100.0
263,159,205,1,1595400.0
264,160,15,1,366600.0
265,161,135,1,1573500.0
266,161,83,1,1625000.0
267,161,108,1,7517900.0
268,161,286,1,5344300.0
269,162,96,1,3029400.0
270,162,196,1,5613800.0
271,163,287,1,3293500.0
272,163,152,1,7300900.0
273,164,54,2,1905700.0
274,164,151,1,7784600.0
275,164,292,1,1913700.0
276,165,152,1,7011600.0
277,166,199,1,1543500.0
278,166,134,1,4617800.0
279,166,187,2,1570200.0
280,167,260,1,3884100.0
281,167,244,1,8175800.0
282,168,224,1,1635500.0
283,169,15,1,359000.0
284,170,261,2,5563000.0
285,171,33,1,421700.0
286,171,272,1,3496800.0
287,171,212,1,5055000.0
288,171,83,1,1634100.0
289,172,182,1,4768300.0
290,173,132,1,2700900.0
291,174,157,1,5252900.0
292,175,80,1,4092800.0
293,176,62,1,6002700.0
294,176,160,1,1070200.0
295,176,150,1,2131000.0
296,176,56,3,1328800.0
297,177,252,1,976400.0
298,178,273,1,4661500.0
299,178,268,1,5736200.0
300,179,288,1,1265200.0
301,180,293,1,475800.0
302,181,223,1,7858300.0
303,181,261,1,5750300.0
304,182,8,1,1105500.0
305,183,117,1,1791000.0
306,183,191,1,4350100.0
307,183,206,2,669900.0
308,183,23,1,5950000.0
309,184,6,1,1563500.0
310,185,94,1,552400.0
311,186,104,2,1606300.0
312,187,43,1,1506600.0
313,188,108,1,7179600.0
314,189,259,1,2121100.0
315,189,33,1,426600.0
316,189,116,1,4213000.0
317,190,9,1,4512400.0
318,191,199,1,1530100.0
319,192,199,1,1588600.0
320,193,115,1,3952000.0
321,193,74,2,1023300.0
322,193,147,1,1885100.0
323,194,181,1,8554100.0
324,195,106,1,7486100.0
325,195,126,1,1698100.0
326,196,73,1,1111600.0
327,197,222,1,1505500.0
328,197,93,1,358400.0
329,197,227,2,989900.0
330,198,250,1,1302100.0
331,198,162,1,6940400.0
332,199,183,1,3855900.0
333,200,52,1,3200800.0
334,201,144,1,3923100.0
335,202,186,1,1607900.0
336,202,226,1,1839300.0
337,203,202,2,2997000.0
338,204,254,1,1601000.0
339,204,9,1,4734500.0
340,204,214,2,3511000.0
341,204,87,1,1739700.0
342,205,283,1,891100.0
343,206,139,1,4781500.0
344,206,193,1,9994900.0
345,207,44,1,453900.0
346,208,45,1,6043500.0
347,208,39,1,3809800.0
348,209,72,1,4706500.0
349,210,272,1,3508900.0
350,211,260,1,3900900.0
351,212,117,1,1794800.0
352,213,129,1,1356800.0
353,214,46,1,5304000.0
354,214,164,1,1879100.0
355,215,251,1,257800.0
356,216,207,1,4734300.0
357,216,238,1,5766900.0
358,216,232,1,781500.0
359,217,112,1,4703300.0
360,217,49,1,1799500.0
361,217,9,1,4548900.0
362,218,250,2,1249000.0
363,218,31,1,5253200.0
364,218,181,1,8466900.0
365,219,63,1,7030000.0
366,219,67,1,1390900.0
367,220,161,1,1745000.0
368,220,244,1,8159300.0
369,220,144,1,3790700.0
370,221,197,1,2718600.0
371,221,76,1,2273200.0
372,221,165,2,3341100.0
373,222,168,1,3876900.0
374,222,183,1,3884400.0
375,223,100,1,648300.0
376,224,41,1,3489000.0
377,224,189,1,2256400.0
378,225,84,1,724300.0
379,226,166,1,4796700.0
380,226,203,1,8033400.0
381,227,121,1,1241900.0
382,228,80,1,4150900.0
383,228,281,1,1728300.0
384,229,246,1,3286100.0
385,229,22,2,1104500.0
386,230,282,1,308900.0
387,230,35,1,1593200.0
388,231,145,1,1507300.0
389,231,137,1,4652700.0
390,232,263,1,1161700.0
391,232,208,1,2253600.0
392,233,156,1,1150000.0
393,233,185,1,3245600.0
394,234,199,2,1575000.0
395,234,168,1,3879000.0
396,234,235,1,4265300.0
397,235,1,1,842200.0
398,235,156,1,1109800.0
399,235,228,1,2233000.0
400,236,135,1,1609400.0
401,237,121,1,1281000.0
402,238,194,1,702400.0
403,239,104,1,1579400.0
404,239,137,1,4662100.0
405,240,25,1,2177800.0
406,241,178,1,1840700.0
407,242,45,2,6277200.0
408,242,130,1,2103000.0
409,242,71,1,7337900.0
410,242,171,1,1639200.0
411,243,106,1,7579100.0
412,244,85,1,1261900.0
413,244,117,1,1762100.0
414,245,55,1,1705600.0
415,246,208,1,2267700.0
416,247,61,1,589500.0
417,248,22,1,1105900.0
418,249,180,2,2582000.0
419,250,49,1,1823700.0
420,250,233,2,1462900.0
421,250,195,1,5622500.0
422,251,260,1,3902200.0
423,251,228,1,2283600.0
424,252,84,1,736400.0
425,253,91,1,650100.0
426,253,193,1,9935900.0
427,254,289,1,3666900.0
428,254,13,1,1164000.0
429,254,225,1,907900.0
430,255,184,1,3840300.0
431,256,192,1,1759000.0
432,256,286,1,5206400.0
433,256,135,1,1544200.0
434,256,245,1,2004300.0
435,257,5,1,4513900.0
436,257,156,2,1164400.0
437,258,278,1,1594300.0
438,258,37,1,975100.0
439,259,135,1,1592700.0
440,260,66,1,2357600.0
441,260,246,1,3170600.0
442,260,261,1,5611400.0
443,261,21,1,5061100.0
444,262,287,2,3306600.0
445,263,33,1,439200.0
446,263,129,1,1392500.0
447,264,136,1,656300.0
448,265,237,1,499000.0
449,266,255,1,4151000.0
450,266,192,1,1736200.0
451,267,97,1,3719500.0
452,268,251,1,248700.0
453,268,56,1,1271900.0
454,269,217,1,1987000.0
455,269,105,1,1763900.0
456,269,21,1,5026000.0
457,270,12,1,798000.0
458,271,139,1,4670800.0
459,271,249,1,3597000.0
460,271,64,1,388500.0
461,271,49,1,1797500.0
462,272,227,1,972700.0
463,272,77,1,5064200.0
464,273,199,1,1575400.0
465,274,141,1,2463600.0
466,275,293,1,468500.0
467,276,81,1,1377100.0
468,277,82,1,5404500.0
469,278,267,1,802500.0
470,279,101,1,4036300.0
471,280,96,1,2880100.0
472,281,80,1,4012400.0
473,282,22,1,1067600.0
474,283,267,1,788800.0
475,283,182,1,4761100.0
476,284,60,1,610700.0
477,284,212,1,5060400.0
478,284,196,1,5647000.0
479,285,73,1,1090800.0
480,286,75,1,1500900.0
481,287,246,1,3204000.0
482,288,13,1,1138400.0
483,289,250,1,1283100.0
484,290,137,1,4853500.0
485,290,74,1,987000.0
486,291,78,1,6272900.0
487,291,219,2,4590300.0
488,292,236,1,6589200.0
489,293,168,1,3922900.0
490,293,270,1,1851000.0
